CP,MA,MACD,K,D,R,Trend
332.3999939,322.1333333,26.60634966,81.02184903,97.19901851,18.97815097,0
325.7000122,323.1733337,24.75327708,56.56935567,78.58879559,43.43064433,1
327.2999878,323.5466675,23.14698434,62.40868392,66.66662954,37.59131608,0
324.7999878,324.4666667,21.42527938,42.60086188,53.85963382,57.39913812,0
324.7000122,325,19.82422725,42.15254124,49.05402901,57.84745876,0
320.3999939,325.3333333,18.00090316,22.86996375,35.87445562,77.13003625,1
323.2000122,325.1400004,16.59059767,35.42608936,33.48286478,64.57391064,0
322.5,324.9133341,15.2407494,32.28702374,30.19435895,67.71297626,1
325.2999878,324.8200012,14.23285307,44.84301251,37.51870854,55.15698749,1
330.2999878,325.3733337,13.67985335,66.20362848,47.77788824,33.79637152,0
326,326.2133321,12.74767672,46.29628321,52.4476414,53.70371679,1
328,326.6933329,12.0316104,55.55553986,56.01848385,44.44446014,0
324.3999939,327.0799988,11.04629743,38.88884964,46.91355757,61.11115036,1
344.7000122,327.2799988,11.76781953,99.6528624,64.69908397,0.347137598,0
331.6000061,327.7866659,11.15399368,51.147561,63.22975768,48.852439,1
334.1000061,327.4199992,10.74539516,59.34428231,70.04823523,40.65571769,1
340.7999878,327.5333333,10.83728494,81.31143539,63.93442623,18.68856461,1
345.2000122,328.5399984,11.13677563,95.73774494,78.79782088,4.262255059,1
351.7000122,329.7333333,11.76302303,99.16670058,92.0719603,0.833299425,1
359.7999878,331.5266683,12.76577306,102.3364493,99.08029826,-2.336449265,0
359.7000122,333.8666667,13.39794927,91.0416921,97.51494731,8.958307902,1
360.2999878,336.4866679,13.78842214,90.19188336,94.52334158,9.808116636,1
364.7000122,338.9599996,14.28821426,99.30235397,93.51197648,0.69764603,1
365.1000061,341.7733337,14.54886897,97.91668138,95.80363957,2.083318616,0
363.1000061,344.4266683,14.42774239,93.28705306,96.83536281,6.712946938,0
358.8999939,346.6133362,13.83338022,83.56480533,91.58951326,16.43519467,0
357.8999939,348.8066691,13.13029442,81.24999117,86.03394985,18.75000883,1
360.2000122,350.800002,12.61328798,86.57410612,83.79630087,13.42589388,0
359.2999878,353.1866699,11.99268796,81.84278234,83.22229321,18.15721766,1
360.3999939,354.1600016,11.45754384,84.82382919,84.41357255,15.17617081,1
362.7000122,356.0800008,11.09117832,91.05694217,85.90785123,8.943057829,0
357.2999878,357.9866679,10.24697344,66.53841459,80.80639532,33.46158541,1
357.8999939,359.0866679,9.516648468,68.72583779,75.44039818,31.27416221,1
361.3999939,359.9333333,9.115206983,82.23935449,72.50120229,17.76064551,0
361.2999878,360.5799988,8.688832603,54.80754841,68.59091356,45.19245159,1
364,360.6799988,8.471146156,80.76921948,72.60537413,19.23078052,0
355.7999878,360.9666646,7.54992479,1.922901989,45.83322329,98.07709801,1
356.3999939,360.6666646,6.789994864,38.85351185,40.51521111,61.14648815,0
355.1000061,360.1133301,6.013526581,31.57904247,24.11848544,68.42095753,0
349.7999878,359.4466634,4.913858784,-1.333414714,23.03304654,101.3334147,0
349.7000122,358.5599955,3.988322045,14.52517872,14.92360216,85.47482128,0
341.1000061,357.9466634,2.531695086,-3.017160867,3.391534378,103.0171609,0
338.2000122,356.8266642,1.130273367,-1.515128746,3.330963034,101.5151287,0
337.8999939,355.3599976,-0.004520304,2.867340387,-0.554983075,97.13265961,1
342.7999878,353.9333313,-0.502669448,21.55469335,7.635634996,78.44530665,1
343.3999939,352.7599976,-0.839365077,23.67485717,16.03229697,76.32514283,1
348,351.4733297,-0.72664048,39.92930271,28.38628441,60.07069729,1
351.1000061,350.8533305,-0.382748752,50.88339261,38.1625175,49.11660739,0
345.2999878,350.399998,-0.571635624,30.38861942,40.40043825,69.61138058,1
346.3999939,349.3266642,-0.625359774,34.27556846,38.51586016,65.72443154,1
346.6000061,348.3333313,-0.644369348,34.98232568,33.21550452,65.01767432,1
348.1000061,347.1733317,-0.532261528,51.12107685,40.12632366,48.87892315,1
352.3999939,346.6599996,-0.095343139,74.40758225,53.50366159,25.59241775,1
354.1000061,346.3933329,0.38367188,90.15546581,71.8947083,9.844534188,1
354.6000061,346.3266663,0.794482257,80.99553697,81.85286168,19.00446303,0
354.3999939,346.6466675,1.091332921,80.09050336,83.74716872,19.90949664,1
359.3999939,346.9599996,1.710331784,93.41560944,84.83388326,6.584390565,1
362.5,348.1799988,2.423105377,100,91.16870427,0,0
358.2000122,349.799998,2.61091352,80.22391714,91.21317552,19.77608286,1
358.7000122,351.1533325,2.768188692,79.31040833,86.51144182,20.68959167,1
360,352.2133341,2.9635664,84.91380104,81.48270884,15.08619896,1
365.2000122,353.3200012,3.497683056,98.80957283,87.6779274,1.190427173,0
364.2000122,354.4666687,3.796518805,87.22628875,90.31655421,12.77371125,1
367.8999939,355.3400024,4.282539441,87.89804027,91.31130062,12.10195973,1
369.3999939,356.8466695,4.734179091,84.34784378,86.49072427,15.65215622,1
374,358.3800028,5.401029114,97.11815663,89.78801356,2.881843367,0
368.3999939,360.2066691,5.415215636,70.16391441,83.87663828,29.83608559,1
372.8999939,361.5600016,5.723592932,82.6414864,83.30785248,17.3585136,0
371.7000122,362.9266683,5.80424791,78.11325361,76.97288481,21.88674639,1
377.7999878,364.100002,6.287901596,92.41375101,84.38949701,7.58624899,0
367.7000122,365.6466675,5.78947949,57.58624899,76.0377512,42.41375101,0
357.6000061,366.5333354,4.527302374,2.608722189,50.86957406,97.39127781,1
362,366.4133362,3.837820643,26.53061224,28.90852781,73.46938776,1
370.8999939,366.3800028,3.963863579,62.85711794,30.66548413,37.14288206,1
375.5,367.2266683,4.384394986,81.63265306,57.00679442,18.36734694,1
387.8999939,368.3466675,5.653079847,107.9999797,84.16325022,-7.999979655,1
399.3999939,370.2066671,7.500020068,100.9195262,96.85071964,-0.919526199,1
409.6000061,372.4866659,9.675258877,105.0485555,104.6560205,-5.048555541,1
417,375.5133321,11.85955935,96.8503937,100.9394918,3.149606299,0
409.2000122,378.7866659,12.81353295,83.64486292,95.18127072,16.35513708,0
407.3999939,381.4400004,13.2713338,80.84109662,87.11211775,19.15890338,1
408.5,383.6666667,13.56651918,82.55450144,82.34682033,17.44549856,1
409.5,386.3400004,13.72295764,84.11213354,82.5025772,15.88786646,0
401.3999939,388.7800008,13.04298208,71.495304,79.38731299,28.504696,0
397.2999878,390.7599996,12.03453371,65.10900287,73.57214681,34.89099713,0
394.8999939,392.0599996,10.91584064,61.37069533,65.9916674,38.62930467,0
391.7000122,393.8733317,9.659705474,56.38630113,60.95533311,43.61369887,0
388.3999939,396.1466654,8.302222553,47.12835835,54.96178494,52.87164165,0
387.1000061,397.906665,7.040352605,39.62961833,47.71475927,60.37038167,0
385.5,398.9866659,5.843840306,23.31836877,36.69211515,76.68163123,1
392.8999939,399.6533325,5.430118327,22.76654501,28.5715107,77.23345499,0
384.8999939,399.9866659,4.405918848,2.520990445,16.20196808,97.47900956,1
385.2999878,399.0199992,3.585181802,3.641421144,9.642985532,96.35857886,1
385.7999878,397.399998,2.941183469,5.041980889,3.734797493,94.95801911,1
390,395.3199972,2.738152319,21.50538105,10.06292769,78.49461895,1
392,394.0399963,2.707422474,28.6738414,18.40706778,71.3261586,1
393.3999939,393.0133301,2.764172992,33.69174177,27.95698807,66.30825823,0
390,392.006663,2.505910517,22.64150943,28.33569753,77.35849057,1
393.5,390.706663,2.554213017,45.67310373,34.00211831,54.32689627,1
398.6000061,390.1799967,2.969787109,81.11114502,49.80858606,18.88885498,0
