CP,MA,MACD,K,D,R,Trend
310.6000061035156,-0.04887063877004628,0.1978234339670564,0.18323221793291686,0.26850976327597775,-0.18188804269469405,1.0
319.6000061035156,-0.031679017553024255,0.36292759116931206,0.17343461264964474,0.3001810525224767,-0.1719682405584336,0.0
314.0,-0.01372048335987999,0.4844293507205005,0.11938184642115741,0.2959592541837253,-0.11779327762628071,0.0
312.0,0.0027445592649036916,0.5727711088870184,0.11202189822879587,0.2516631946339377,-0.11031113287957606,1.0
333.8999938964844,0.015602994472095944,0.6499766873270426,0.17926162859675826,0.2552877718140368,-0.17742866684251776,1.0
344.29998779296875,0.031005421773209012,0.7099565177728561,0.17004455875236968,0.2868021185065413,-0.16808940074243067,1.0
360.3999938964844,0.04356053857669799,0.7595402011552702,0.16954434530784723,0.3225834993776229,-0.16746699119153166,1.0
385.3999938964844,0.06344039371168816,0.8063209638232451,0.20153463154306914,0.33643815294510465,-0.19933508146969872,0.0
361.20001220703125,0.08721994403533209,0.8177487329859111,0.07931610865186209,0.2800009304701921,-0.07699436277075859,0.0
332.6000061035156,0.10409754401070255,0.798423028240045,0.012908952190099517,0.1825667344325467,-0.010465010650584309,1.0
341.79998779296875,0.11664600422050506,0.780284990592994,0.03312247419389424,0.07780694180866654,-0.030556337145288603,1.0
366.5,0.12858811720460456,0.773566828058381,0.08544128280333389,0.08161710730077944,-0.08275295039495889,1.0
369.29998779296875,0.143740919332074,0.7613546187969077,0.08540780061088213,0.12671461029244596,-0.08259727299205866,0.0
355.29998779296875,0.15932618538626886,0.7338356646996969,0.0497505010916733,0.1370579771782246,-0.04681777841172207,1.0
361.79998779296875,0.1716565220015741,0.7082301253799838,0.06037255198141734,0.12146412235913849,-0.05731763438965889,1.0
363.3999938964844,0.18488138316145825,0.6811675070356109,0.06132053202430662,0.10648079097876148,-0.058143419670061265,0.0
358.8999938964844,0.1950726773885517,0.6492264533568055,0.045550084017091506,0.10386796497793384,-0.04225077704967944,1.0
359.79998779296875,0.20276649983542824,0.6174074354386345,0.04489477110934867,0.09424012521569876,-0.04147326967808983,0.0
351.8999938964844,0.21166789518672513,0.5802104797483806,0.02105611159016836,0.06919391380167328,-0.01751241584438258,0.0
337.6000061035156,0.21947958987899951,0.5349770508645323,-0.039705053888303934,0.016161517775900476,0.043370943799297096,0.0
324.5,0.2205863721411944,0.48475456454464366,-0.08664123474870655,-0.06565957357489079,0.09042931867558761,1.0
339.3999938964844,0.21733877041533356,0.44976235616983984,-0.03626029118042588,-0.10131275534921687,0.04017056897387556,1.0
339.79998779296875,0.21386724328856926,0.4174888317065777,-0.034866054555978784,-0.09830252258301062,0.038898526066678055,0.0
326.79998779296875,0.20583555378732551,0.37882595910475714,-0.06669229010068518,-0.08589324239905945,0.0708469551793152,0.0
323.0,0.19987569545403125,0.34169585622692655,-0.08216017862414941,-0.11444483623128848,0.08643703712139143,1.0
327.8999938964844,0.1985087073484936,0.3119587939613176,-0.045405785912395316,-0.12100084021934512,0.04980483767893085,0.0
314.29998779296875,0.19634415370410133,0.2760845129666347,-0.09684472333961813,-0.13975680151911382,0.10136596822612882,1.0
341.79998779296875,0.18708131102664527,0.263065612734814,0.007261920581491326,-0.08413213942014426,-0.002618482724323671,0.0
338.3999938964844,0.18239140783102095,0.24761565139095842,0.004002263039836701,-0.053398012659429034,0.0007633676386699738,1.0
339.6000061035156,0.1796635798408532,0.2334869851642591,0.02182947333110228,0.020422678336922368,-0.01694164998057436,1.0
356.8999938964844,0.17595230724741298,0.23123285027357535,0.09847704107858335,0.07716256650990834,-0.09346702520535183,1.0
358.6000061035156,0.1751485789032958,0.22796630779251242,0.10610167204648967,0.14067292046469876,-0.10096946379987196,0.0
354.5,0.1754932342405578,0.22009752783326764,0.10667783344087733,0.1934523200288434,-0.10142343297019062,0.0
353.79998779296875,0.1749113390756544,0.21096650323016902,0.1034231657281977,0.19652898330092736,-0.09804657318275908,1.0
355.29998779296875,0.17566322154942252,0.20240951428347087,0.11071863704410757,0.1994008925977397,-0.10521985257323398,1.0
362.20001220703125,0.1793430742103907,0.1979816617104139,0.14391642415508335,0.22256488360254884,-0.1382954479080914,1.0
363.8999938964844,0.1867304290831579,0.19339246432973584,0.1521881222576201,0.2528987640853306,-0.1464449543838263,1.0
367.5,0.19167471463907979,0.18998978602949274,0.16022749791302468,0.28369536448442945,-0.15436213856174544,0.0
367.5,0.19721390462370786,0.1851688747726249,0.1428575013110942,0.2830365611387389,-0.1368699506316456,0.0
362.3999938964844,0.20516424013733425,0.17590927629194408,0.12067426803088162,0.2634334534153388,-0.11456452617257962,0.0
359.20001220703125,0.21287687394712604,0.16453631532326848,0.09020280508035194,0.2198749264711431,-0.08397087219251238,0.0
359.20001220703125,0.21909163581245678,0.1537586156284961,0.09029812262687299,0.18718062225367668,-0.08394399885881142,0.0
355.70001220703125,0.22782901046470788,0.1412488077759421,0.07540819073989274,0.15902309454428068,-0.06893187624092457,0.0
353.0,0.23082544980838687,0.12805408885948216,-0.009298662016642362,0.0971287922075783,0.01589716709720188,0.0
346.5,0.2339526915160947,0.11195210244254998,-0.06160057505568789,0.0026411545607654074,0.06832127056852369,0.0
334.3999938964844,0.23565422730108285,0.09003992376805958,-0.2324789883499085,-0.18887810287569495,0.23932187414570574,0.0
327.20001220703125,0.23190833053703067,0.06707175196438964,-0.1745663212128905,-0.29168162209146076,0.18153139714233452,1.0
333.0,0.2265114488073418,0.05215792190053437,-0.0686738563117584,-0.2960812193188982,0.07576112222553462,1.0
