CP,MA,MACD,K,D,R,Trend
358.3999938964844,341.3066670735677,28.590312903423257,88.4297379964703,90.24941853692143,11.570262003529699,0.0
362.79998779296875,343.3266662597656,51.01531183769468,97.52063562322388,89.82296781367313,2.47936437677612,1.0
360.5,345.3733317057292,67.81990956239761,91.07506088041687,92.34181150003701,8.92493911958313,1.0
335.29998779296875,348.3066650390625,78.2027710844684,26.91356517650463,71.83642056004845,73.08643482349537,1.0
308.3999938964844,348.96666463216144,83.30042352073629,-17.954086011160896,33.3448466819202,117.9540860111609,0.0
312.6000061035156,347.3266642252604,86.68006189021662,9.671859574851615,6.210446246731782,90.32814042514839,1.0
308.20001220703125,345.76666463216145,87.98912307239516,2.072560161537622,-2.06988875825722,97.92743983846238,1.0
306.1000061035156,343.5866658528646,87.84449390405067,-0.8576331126784599,3.6289288745702586,100.85763311267846,1.0
304.1000061035156,340.9866658528646,86.57055943991693,4.8513402184944185,2.0220890891178604,95.14865978150559,0.0
305.1000061035156,338.2533325195312,84.66567563536864,13.081397669840554,5.691701591885504,86.91860233015944,0.0
308.0,335.6133321126302,82.43973284422708,17.296505825398615,11.743081237911197,82.70349417460139,1.0
299.20001220703125,332.8866658528646,79.05428310877417,4.505823624335644,11.627909039858272,95.49417637566435,1.0
295.5,329.340000406901,75.20580404472426,8.443265075404197,10.08186484171282,91.5567349245958,1.0
289.3999938964844,325.2466674804688,70.8469575213879,5.86032763405382,6.269805444597886,94.13967236594618,0.0
294.70001220703125,320.5800008138021,67.0473275746422,12.468830776946515,8.924141162134843,87.53116922305348,0.0
304.1000061035156,316.55333455403644,64.0561944790523,24.18952409690589,14.172894169302074,75.81047590309412,0.0
310.0,312.93333536783854,61.45338379500137,31.546126644933985,22.7348271729288,68.45387335506601,0.0
312.0,309.4133361816406,58.87336535256827,34.16769696921086,29.96778257035025,65.83230303078915,0.0
316.79998779296875,306.1800028483073,56.56396684864734,63.43871753736294,43.0508470505026,36.56128246263706,0.0
320.1000061035156,304.94666951497396,54.37325475953756,100.0,65.8688048355246,0.0,1.0
313.5,305.72667032877604,51.51075044488863,77.21178878883629,80.21683544206641,22.78821121116371,0.0
316.79998779296875,305.786669921875,48.9442774246468,86.05894394418145,87.7569109110059,13.941056055818551,0.0
319.70001220703125,306.36000162760416,46.60707939994211,93.83381086949763,85.70151453417179,6.16618913050237,0.0
323.29998779296875,307.26666870117185,44.53198407804092,95.78160614895309,91.89145365421071,4.218393851046912,0.0
326.6000061035156,308.5466674804687,42.66195947080536,99.05438767868661,96.22326823237911,0.9456123213133961,1.0
323.8999938964844,309.98000081380206,40.495278711062156,92.23525103400735,95.69041495388235,7.764748965992647,1.0
317.0,311.040000406901,37.7858252840673,75.99997127757354,89.0965366634225,24.00002872242647,0.0
317.70001220703125,312.22666625976564,35.288267871637174,77.6470588235294,81.9607603783701,22.352941176470587,0.0
318.79998779296875,313.7066670735677,33.01709395853578,78.99993896484375,77.54898968864889,21.00006103515625,0.0
322.20001220703125,315.6666666666667,31.132648037329886,86.4130502387087,81.02001600902729,13.58694976129129,1.0
321.3999938964844,317.5,29.23762315648588,76.03299427732647,80.4819944936263,23.96700572267354,0.0
337.1000061035156,318.65333251953126,28.67214739277881,112.4000244140625,91.61535631003255,-12.4000244140625,0.0
337.1000061035156,320.459999593099,27.902362707335612,98.1751820752626,95.53606692221717,1.8248179247373983,1.0
332.3999938964844,322.1333333333333,26.6063496557029,81.02184903151219,97.19901850694576,18.97815096848781,1.0
325.70001220703125,323.1733337402344,24.753277076994948,56.56935566685935,78.58879559121137,43.43064433314065,0.0
327.29998779296875,323.5466674804687,23.146984338970924,62.40868392358129,66.66662954065094,37.59131607641871,1.0
324.79998779296875,324.46666666666664,21.42527938081571,42.60086188138662,53.859633823942424,57.39913811861338,1.0
324.70001220703125,325.0,19.824227251407706,42.15254123633039,49.054029013766105,57.84745876366961,1.0
320.3999938964844,325.3333333333333,18.000903156569734,22.869963748431356,35.87445562204946,77.13003625156864,0.0
323.20001220703125,325.14000040690104,16.59059766935769,35.42608936032198,33.48286478169458,64.57391063967802,1.0
322.5,324.9133341471354,15.240749403096686,32.28702374484589,30.194358951199746,67.71297625515412,0.0
325.29998779296875,324.82000122070315,14.232853070814542,44.84301250672276,37.51870853729688,55.15698749327724,0.0
330.29998779296875,325.3733337402344,13.67985334528504,66.20362848249972,47.77788824468945,33.79637151750027,1.0
326.0,326.2133321126302,12.74767671820564,46.29628321434778,52.44764140119008,53.70371678565222,0.0
328.0,326.6933329264323,12.031610395357575,55.55553985721733,56.018483851354944,44.44446014278267,1.0
