CP,MA,MACD,K,D,R,Trend
254.8000031,0.407417529,0.017860098,-0.15329572,-0.234169355,0.175255756,1
255.1999969,0.405506988,0.015353816,-0.121183733,-0.246202423,0.143411546,0
251.8999939,0.403730906,0.009818172,-0.207993132,-0.24737285,0.230488719,0
245.8000031,0.401791327,-0.00098338,-0.284798796,-0.31474565,0.307562157,1
247.6000061,0.398062694,-0.007455475,-0.160662603,-0.334971454,0.183693738,1
248.3000031,0.394982493,-0.011621535,-0.132020362,-0.296047708,0.155319269,1
248.8000031,0.392063347,-0.014144091,-0.104635158,-0.203743736,0.128201838,1
248.8999939,0.389413693,-0.015772055,-0.084586527,-0.164767229,0.108420977,1
249.5,0.387521295,-0.016152999,-0.050132861,-0.122813393,0.074235082,1
252.3999939,0.386711575,-0.01312575,0.080388431,-0.028019732,-0.05601844,0
248.6999969,0.386388975,-0.014424712,-0.079553121,-0.025440852,0.104190882,0
248.3999939,0.384332192,-0.015512877,-0.093470518,-0.047644001,0.118376047,1
254.1999969,0.382328535,-0.009987887,0.177127906,0.001918823,-0.15195461,1
255,0.381813878,-0.004617221,0.264824303,0.178354335,-0.23938324,1
257.6000061,0.381921927,0.002470759,0.310911854,0.385532056,-0.285203024,0
257.6000061,0.383357333,0.008081491,0.311152262,0.454196557,-0.285175667,1
258.6000061,0.384549336,0.013525931,0.356050709,0.500934229,-0.329806349,1
259.3999939,0.38590421,0.018567464,0.369859806,0.531134569,-0.343347682,1
261.7999878,0.388370228,0.024924299,0.367072835,0.55978385,-0.340292947,0
261.5,0.393139888,0.029391684,0.311026684,0.536715985,-0.283979034,0
260,0.397342462,0.031061628,0.25820376,0.479510458,-0.230888348,0
259.8999939,0.400950616,0.031997192,0.254883509,0.422031788,-0.227300336,0
257.6000061,0.404397561,0.030025618,0.173736909,0.351693436,-0.145885976,1
258.6000061,0.407195587,0.029279426,0.209293739,0.326634915,-0.181175046,1
259.3999939,0.410102974,0.02929122,0.237790043,0.317877052,-0.209403591,0
257.2999878,0.41244248,0.026837495,0.163710364,0.312739807,-0.135056153,0
257.2000122,0.415216252,0.024589232,0.160350819,0.287664479,-0.131428851,1
260.2000122,0.418045201,0.025798109,0.177131731,0.256587017,-0.147942006,0
259,0.420116593,0.025271959,0.085355817,0.216443253,-0.055898336,0
258.2000122,0.421646836,0.023813961,-0.063270222,0.101874923,0.092995459,0
256.6000061,0.422256425,0.020798092,-0.201201845,-0.091957386,0.231194836,1
260.2999878,0.422432614,0.022187009,0.137625662,-0.065177706,-0.107364916,1
262.3999939,0.423340157,0.025324755,0.291397745,0.116530059,-0.260869246,0
260.2999878,0.424600089,0.025366671,0.128378062,0.285384189,-0.09758181,1
262.7999878,0.424641243,0.027834845,0.283211325,0.359972039,-0.252147321,0
260.7999878,0.425440786,0.027429251,0.10577304,0.264870251,-0.074441285,1
266,0.426105019,0.032372141,0.377681441,0.392595991,-0.346081935,1
267.5,0.428205203,0.037547773,0.383195906,0.443820829,-0.351328651,0
267,0.431335564,0.040737362,0.328242834,0.55779865,-0.29610783,1
268,0.434060687,0.043916921,0.378463002,0.558198437,-0.34606025,0
267.1000061,0.436840959,0.045048265,0.286806018,0.508814218,-0.254135518,0
266.8999939,0.43994732,0.045300096,0.277841043,0.482991217,-0.244902796,1
268.1000061,0.443027704,0.04633697,0.333219967,0.459811242,-0.300013974,0
267.7000122,0.445621554,0.046289555,0.310986024,0.472198915,-0.277512285,1
269.5,0.448433048,0.047714051,0.284836067,0.475782163,-0.251094584,0
