Number-in-hand,Price,Cash,Return,Action
0,20.95475,1000,0.0003795045833323935,1
47,21.0185675,15.126750000000388,0.0015752123063939901,0
47,21.0381499475,15.126750000000388,0.001272782764155736,0
47,21.05,15.126750000000388,0.001964349933270578,0
47,21.08,15.126750000000388,0.0006711436680537803,2
0,20.84,1005.8867500000002,-0.0010043606355757445,0
0,19.91,1005.8867500000002,-0.004904297671028052,1
50,20.16338,10.38675000000071,-0.004370362109601173,0
50,20.284290640000002,10.38675000000071,-0.003233414341641638,0
50,20.32,10.38675000000071,-0.0014034117039978746,2
0,20.0,1026.3867500000008,-0.002797352385838154,1
51,20.23,6.386750000000802,-0.0028465576336924705,2
0,19.92,1038.1167500000008,-0.007436435492085902,0
0,19.39,1038.1167500000008,-0.011291210542178676,1
53,19.5418,10.446750000001444,-0.008795691778681947,0
53,19.5846296,10.446750000001444,-0.006691521780747814,0
53,19.61,10.446750000001444,-0.0015338271097152822,0
53,19.91,10.446750000001444,-0.002899930030860678,2
0,19.68,1065.6767500000014,-0.0017693417028153686,0
0,19.02,1065.6767500000014,-0.005563879527562816,1
56,19.47,0.556750000002161,-0.0052331437279119885,2
0,19.380480000000002,1090.8767500000022,-0.006724908252574965,0
0,19.36197864,1090.8767500000022,-0.0025848970974807718,0
0,19.35,1090.8767500000022,0.0010513056770001916,1
56,19.64,7.2767500000015914,0.0011736098486665799,0
56,19.69,7.2767500000015914,0.00026458394517765065,0
56,20.05,7.2767500000015914,0.001992948523659928,0
56,20.43,7.2767500000015914,0.002296514987268809,0
56,20.64431,7.2767500000015914,0.0015135060630472048,0
56,20.6912378,7.2767500000015914,0.005525103930827431,0
56,20.713442218399997,7.2767500000015914,0.003953029935150078,0
56,20.72,7.2767500000015914,0.0045464694859232236,2
0,20.66,1167.5967500000015,0.004222279088819915,1
56,20.84,10.636750000001534,0.004443608330587745,2
0,20.82,1177.6767500000014,0.0027447183919740168,1
56,20.8566,11.756750000000842,0.002866939718509995,0
56,20.8671324,11.756750000000842,0.0009153743104088161,0
56,20.87,11.756750000000842,2.286582381771929e-17,2
0,20.39,1180.476750000001,-0.0026087298706479107,1
57,20.7,18.246750000000844,-0.0011401562270680298,2
0,20.63,1198.1467500000008,-0.0006417023899947616,0
0,20.53,1198.1467500000008,0.0005832920981017971,1
58,20.76426,7.406750000002006,0.002693931571201714,0
58,20.83277952,7.406750000002006,0.002839466377539036,0
58,20.87,7.406750000002006,0.003579724301460723,2
0,20.7,1217.866750000002,0.003962953665660332,0
0,20.52,1217.866750000002,0.0043020065560656065,1
59,20.53,7.186750000002739,0.005007005264480629,0
59,20.79,7.186750000002739,0.010543156109141092,2
0,20.77522,1233.7967500000027,0.008757957967560896,0
0,20.7714355,1233.7967500000027,0.008108908726234314,0
0,20.77,1233.7967500000027,0.006842251842295306,1
59,20.94,8.366750000003513,0.006918726756654767,0
59,21.19,8.366750000003513,0.007382190139246821,0
59,21.25,8.366750000003513,0.007575717123206332,0
59,21.27,8.366750000003513,0.00810733168547311,2
0,21.2043,1263.2967500000036,0.007194663192859321,0
0,21.1807702,1263.2967500000036,0.006170950413691523,0
0,21.17,1263.2967500000036,0.0022131791728698083,1
59,22.01,14.266750000003498,0.0024178287610519544,0
59,22.24,14.266750000003498,0.0022815066960500817,2
0,22.2,1326.4267500000033,0.002492635757565796,0
0,21.99,1326.4267500000033,-0.0003458579143201824,1
60,22.152749999999997,7.026750000002799,-0.0002986704284832076,0
60,22.213126999999997,7.026750000002799,-0.0003849326512079873,0
60,22.24,7.026750000002799,-0.0007755584088868525,0
60,22.67,7.026750000002799,0.0014813877475994008,2
0,22.43,1367.2267500000028,0.0023278786818978327,0
0,22.35,1367.2267500000028,0.0012430240843680934,0
0,22.24,1367.2267500000028,0.00285953380590832,1
61,22.298949999999998,10.586750000002294,0.003437215714258559,0
61,22.3228585,10.586750000002294,0.0033522418029038317,0
61,22.33,10.586750000002294,0.004465715058374241,0
61,22.34,10.586750000002294,0.005102025360187111,2
0,22.29,1373.3267500000022,0.004520517416091602,1
61,22.39,13.636750000003424,0.004862702114454696,0
61,22.5252,13.636750000003424,0.0040909424000854615,0
61,22.5761328,13.636750000003424,0.003826605818325926,0
61,22.5854515584,13.636750000003424,0.005063527655438848,0
61,22.59,13.636750000003424,0.003221274643238512,2
0,22.4,1391.6267500000035,0.0032077403752893085,1
62,22.45,2.8267500000028107,0.0034826223965250787,2
0,22.31,1394.7267500000028,0.0032012217807136146,1
62,22.55,11.506750000004846,0.002491701530007105,2
0,22.54267,1409.606750000005,0.002989885391185512,0
0,22.54081702,1409.606750000005,0.002614104368421378,0
0,22.54,1409.606750000005,0.0018614243845170614,1
62,22.77,12.126750000006162,0.0016940837520348223,0
62,23.52,12.126750000006162,0.0030024905667942756,0
62,24.22,12.126750000006162,0.004280417897282886,2
0,23.92,1513.7667500000061,0.0032205198427503303,1
63,23.98168,6.80675000000528,0.0027039440665214986,0
63,23.9951452,6.80675000000528,0.002911245614169412,0
63,24.0,6.80675000000528,0.0021481564968646376,0
63,24.12,6.80675000000528,0.0010100639802112,2
0,23.8,1526.3667500000054,0.006779282199533837,1
64,23.99,3.166750000007106,0.009528391274715331,0
64,24.04,3.166750000007106,0.011086081029809099,2
0,23.90184,1541.726750000007,0.00941828935291878,0
0,23.83947792,1541.726750000007,0.008009988350716847,0
0,23.82,1541.726750000007,0.008564277440218811,0
0,23.35,1541.726750000007,0.005853998413506826,0
0,23.26,1541.726750000007,0.005692606348936885,1
66,23.49,6.566750000007609,0.008393685289237524,2
0,22.84,1556.9067500000076,0.006509288948481892,1
68,23.09578,3.786750000009029,0.001994558541763569,0
68,23.22370738,3.786750000009029,-0.00031368296033853626,0
68,23.26,3.786750000009029,-0.0016942931035232012,2
0,22.56,1585.4667500000091,-0.004281837660679708,0
0,22.17,1585.4667500000091,-0.005209306199158251,0
0,21.51,1585.4667500000091,-0.009018050198432647,0
0,21.31,1585.4667500000091,-0.010527146449787621,1
74,22.17304,8.526750000011823,-0.00471244350291534,0
74,22.436158080000002,8.526750000011823,-0.006191071389987617,0
74,22.55,8.526750000011823,-0.00274585689437934,2
0,22.28,1677.2267500000119,-0.0030260552010496506,1
75,23.09,6.226750000013567,-0.0013550089181629463,2
0,22.5,1737.9767500000135,-0.0030426686630708128,0
0,21.89,1737.9767500000135,-0.001885044206750594,1
79,21.97567,8.666750000010808,-0.0007274411995367566,0
79,22.01033606,8.666750000010808,0.0031749824308829667,0
79,22.02,8.666750000010808,0.0075167496314630985,2
0,21.43,1748.2467500000107,0.0011153254408648508,1
81,21.6,12.416750000009664,-0.0016938507894147462,2
0,20.79,1762.0167500000098,-0.006578884307444353,1
84,20.91,15.65675000001179,-0.005727077068540762,2
0,20.756880000000002,1772.0967500000118,-0.006566279962549495,0
0,20.698844160000004,1772.0967500000118,-0.004769875606954798,0
0,20.67,1772.0967500000118,-0.002824967606842719,1
85,20.85,15.146750000009803,-0.0035748982956526716,2
0,20.7,1787.3967500000101,-0.00408875235263668,1
86,21.76,7.1967500000075475,-0.0003585716157441174,2
0,21.42,1878.5567500000077,0.0018147322320387778,0
0,21.264,1878.5567500000077,0.004515177859264292,0
0,21.207048,1878.5567500000077,0.009122809164483556,0
0,21.187221816,1878.5567500000077,0.00735009332792608,0
0,21.18,1878.5567500000077,0.0060843513189546275,1
88,21.81,14.716750000006208,0.0069412516293332425,0
88,21.9,14.716750000006208,0.006427252831780909,2
0,20.95,1941.916750000006,0.004302339495189436,0
0,20.43065,1941.916750000006,0.003223223027539672,0
0,20.3436371,1941.916750000006,-0.0008185710121768856,0
0,20.3,1941.916750000006,-0.002343318801489527,0
0,20.18,1941.916750000006,-0.0041212550088486856,0
0,19.93,1941.916750000006,-0.0068814113004369015,1
97,20.55,8.70675000000417,-0.0039975066148579185,0
97,20.64,8.70675000000417,-0.002830891271817514,0
97,20.802500000000002,8.70675000000417,-0.003845391096030333,0
97,20.867250000000002,8.70675000000417,-0.0034343827135198783,0
97,20.89,8.70675000000417,-0.0006584385928179181,0
97,21.48,8.70675000000417,0.0030044699246118143,0
97,21.49,8.70675000000417,0.00617146908437195,0
97,21.52,8.70675000000417,0.008010707637749512,2
0,21.4,2096.1467500000044,0.009477392514712607,0
0,21.25447,2096.1467500000044,0.010837668782254579,0
0,21.20682667,2096.1467500000044,0.007650766672079798,0
0,21.19,2096.1467500000044,0.006364082401551828,0
0,20.98,2096.1467500000044,0.007490678845746064,0
0,20.81,2096.1467500000044,0.0063703734148669216,0
0,20.32,2096.1467500000044,0.005619455834364229,0
0,20.03,2096.1467500000044,0.002659731251926594,1
104,20.28872,13.026750000006444,0.00021012481385546158,0
104,20.3361212,13.026750000006444,-0.001360692557774417,0
104,20.36,13.026750000006444,-0.0021167543044348417,2
0,19.79,2130.4667500000064,-0.005622020822818383,0
0,19.45,2130.4667500000064,-0.007260359037330478,0
0,19.25,2130.4667500000064,-0.008371957998941516,0
0,19.2,2130.4667500000064,-0.010306195762883228,1
110,19.4002,18.466750000003717,-0.008836971203977095,0
110,19.454065,18.466750000003717,-0.007956816506941229,0
110,19.470118765,18.466750000003717,-0.007033380038911213,0
110,19.48,18.466750000003717,-0.0074317148312186675,0
110,20.14,18.466750000003717,-0.003627807045116928,2
0,20.1,2233.866750000004,-0.003910592715078659,1
111,20.23,2.7667500000084146,0.0013299151094178813,0
111,20.451340000000002,2.7667500000084146,0.002502355372998601,0
111,20.53072354,2.7667500000084146,0.003525255029035398,0
111,20.57,2.7667500000084146,0.0040821994520255,0
111,21.01,2.7667500000084146,0.0014957005157746456,0
111,21.36,2.7667500000084146,0.0017022625831494824,0
111,21.51,2.7667500000084146,0.0011413761690455607,2
0,21.02,2390.3767500000085,0.0005054770661623972,1
113,21.41957,15.116750000010338,-0.004778971755709503,0
113,21.52455488,15.116750000010338,-0.004825884766534782,0
113,21.59,15.116750000010338,-0.005571622399751723,0
113,21.65,15.116750000010338,-0.0023910897147880923,2
0,21.26,2461.56675000001,-0.0012416693038631512,1
115,21.78,16.666750000006605,0.0006779686985378992,2
0,21.69,2521.366750000007,0.0031740010481456477,1
116,21.70298,5.3267500000019865,0.002647306839177705,0
116,21.70723412,5.3267500000019865,0.003097670479595429,0
116,21.71,5.3267500000019865,0.003684772099238536,2
0,21.58,2523.686750000002,0.006841452792814104,0
0,21.33,2523.686750000002,0.005958888524106123,0
0,21.03,2523.686750000002,0.004949578473769508,0
0,20.6,2523.686750000002,0.002145296795131331,1
122,21.03615,10.486750000007852,0.0023060788712530303,0
122,21.12666075,10.486750000007852,0.0008716149709342581,0
122,21.15,10.486750000007852,0.0007245436231497371,2
0,20.87,2590.7867500000075,0.0009439387115331516,0
0,20.73,2590.7867500000075,0.0013934911355924634,0
0,20.67,2590.7867500000075,0.000940487921104384,0
0,20.65,2590.7867500000075,-0.001522668660148846,0
0,20.65,2590.7867500000075,9.287531246210046e-05,0
0,20.65,2590.7867500000075,0.001376628211282863,0
0,20.65,2590.7867500000075,0.0017265063330176755,0
0,19.82,2590.7867500000075,-0.00028911215884089433,0
0,19.43,2590.7867500000075,-0.004336355262228495,1
133,19.45,6.596750000009671,-0.0038985446712953625,2
0,19.14,2593.4467500000096,-0.005014062132384228,1
135,19.38552,9.546750000008515,-0.005842229758250677,0
135,19.45065408,9.546750000008515,-0.005476853170556504,0
135,19.47,9.546750000008515,-0.004881708243212897,0
135,19.53,9.546750000008515,-0.003586680448590139,0
135,19.59,9.546750000008515,-0.003321628574973209,2
0,18.89,2654.1967500000087,-0.004625260020342887,1
140,18.91,9.596750000008015,-0.003878907399690884,2
0,18.77329,2656.996750000008,-0.0012813698905317853,0
0,18.71531761,2656.996750000008,-0.0022829826829828233,0
0,18.7,2656.996750000008,-0.0013578709341760524,0
0,18.41,2656.996750000008,-0.003322146827379184,1
144,18.48,5.95675000000886,-0.0019895070330643934,2
0,18.18,2667.076750000009,-0.0030127081262038653,1
146,18.37,12.796750000012047,-0.004198007224088285,2
0,18.0543,2694.8167500000122,-0.004379089712279399,0
0,17.9904589,2694.8167500000122,-0.0030412140528036234,0
0,17.96,2694.8167500000122,-0.002874006316607071,0
0,17.66,2694.8167500000122,-0.001614092103381508,1
152,18.14,10.496750000013314,0.0016974519427608848,0
152,18.28,10.496750000013314,0.0025588349567469033,0
152,18.43,10.496750000013314,0.007554467921896134,2
0,18.19657,2811.8567500000136,0.0060606449079689245,0
0,18.14281786,2811.8567500000136,0.007056397851014372,0
0,18.124609207720003,2811.8567500000136,0.006486217120219755,0
0,18.12,2811.8567500000136,0.006242667897499404,0
0,17.89,2811.8567500000136,0.008120110608250469,1
157,18.0,3.1267500000138995,0.008146291029108474,2
0,17.97,2829.126750000014,0.008048571481319659,1
157,18.41486,7.83675000001989,0.006063936048923867,0
157,18.508647160000002,7.83675000001989,0.005641453355263057,0
157,18.55,7.83675000001989,0.0031418984781925404,0
157,18.73,7.83675000001989,0.0037842629456700297,2
0,18.72,2948.44675000002,0.004666869049104083,1
157,18.97,9.406750000027102,0.007015276700587447,2
0,18.8,2987.696750000027,0.006592908250393917,1
158,18.88242,17.296750000021486,0.0068571909625503216,0
158,18.916439699999998,17.296750000021486,0.007213366685794899,0
158,18.93,17.296750000021486,0.0072512227134253465,0
158,19.14,17.296750000021486,0.006481983022930189,2
0,19.01,3041.4167500000212,0.007576252760934624,0
0,18.98,3041.4167500000212,0.007861008603402442,1
160,19.42,4.616750000018634,0.008675017808517982,2
0,19.26914,3111.816750000019,0.007597994209219294,0
0,19.24456008,3111.816750000019,0.005166709017146563,0
0,19.23,3111.816750000019,0.005561794079390716,1
161,19.5,15.786750000016415,0.001857257884518803,2
0,19.23,3155.2867500000166,0.0016185175055168685,0
0,19.2,3155.2867500000166,0.00019753092842542935,1
164,19.32,6.486750000023527,-0.0004449945538446048,2
0,19.03425,3174.9667500000237,-0.0026938290838189227,0
0,18.9274875,3174.9667500000237,-0.003427958239604478,0
0,18.87,3174.9667500000237,-0.004782080656215737,1
168,19.14,4.806750000035784,-0.0008854097389671244,0
168,19.3,4.806750000035784,-0.0007116293186092017,0
168,19.39,4.806750000035784,-0.000651310950338268,0
168,19.52,4.806750000035784,0.0024823542370537048,0
168,19.54121,4.806750000035784,0.0025710008773614313,0
168,19.54682681,4.806750000035784,0.003940648580956937,0
168,19.55,4.806750000035784,0.0044344030650839365,0
168,19.77,4.806750000035784,0.006371416386609046,2
0,19.23,3326.166750000036,0.007254925539410104,1
172,19.32,18.60675000003295,0.008149084996038405,0
172,19.32,18.60675000003295,0.008539508441212854,2
0,19.23628,3341.646750000033,0.009144055151980229,0
0,19.20258816,3341.646750000033,0.009365940766244214,0
0,19.19,3341.646750000033,0.007826499459002146,1
174,19.21,2.5867500000251127,0.004845016316610068,0
174,19.64,2.5867500000251127,0.005064253564874317,0
174,19.76,2.5867500000251127,0.00469939492930529,0
174,19.84,2.5867500000251127,0.0029342523263586997,0
174,19.85839,2.5867500000251127,0.0027405529229155142,0
174,19.86607582,2.5867500000251127,0.0021003441425577153,0
174,19.87,2.5867500000251127,-0.0018860011200134037,0
174,20.04,2.5867500000251127,-0.002812827210547539,0
174,20.19,2.5867500000251127,-0.003127106678726478,0
174,20.47,2.5867500000251127,-0.004088619791663703,2
0,20.05,3564.3667500000247,-0.002775089214458955,1
177,20.4296,15.516750000014351,-0.0024805812189269325,0
177,20.5163672,15.516750000014351,-0.0018837031761178146,0
177,20.57,15.516750000014351,-0.0010758945489874148,2
0,20.34,3656.406750000014,0.00026874731509466814,1
179,20.48,15.546750000006288,0.0013137334547173069,0
179,20.97,15.546750000006288,0.003013957345161757,0
179,21.24,15.546750000006288,0.00288901516659884,2
0,21.23384,3817.506750000006,0.0032486559838623315,0
0,21.23140544,3817.506750000006,0.004241010595640774,0
0,21.23,3817.506750000006,0.005695167412451301,0
0,21.16,3817.506750000006,0.004245792957009728,0
0,21.04,3817.506750000006,0.004583253610318973,1
181,21.21,9.266750000011463,0.004037079953651852,0
181,21.53,9.266750000011463,-0.00043088852243875766,2
0,21.37107,3906.196750000012,-0.0017786696899718673,0
0,21.31862034,3906.196750000012,-0.0035829068867590692,0
0,21.3,3906.196750000012,-0.003230428949924635,0
0,21.07,3906.196750000012,-0.005316269267705063,1
185,21.08,8.24674999999943,-0.005812570557461361,2
0,21.02,3908.046749999999,-0.0032599448443878304,1
185,21.14,19.34675000000217,-0.002989994569567372,0
185,21.22789,19.34675000000217,-0.0022046216441161635,0
185,21.2440303,19.34675000000217,-0.0012187619870919469,0
185,21.25,19.34675000000217,0.001734863833461308,2
0,21.09,3950.596750000002,0.0004496716407158808,1
187,21.39,6.766749999992278,0.0024771901813287226,2
0,21.35052,4006.696749999993,0.0026942923157523375,0
0,21.33,4006.696749999993,0.004604509913211646,1
187,21.33,17.986750000002218,0.0052271059871504075,0
187,21.33,17.986750000002218,0.0026833044453901467,0
187,21.33,17.986750000002218,0.003255422728054644,2
0,21.16,4006.696750000002,2.3849862976310642e-05,1
189,21.48,7.456750000011873,0.0011303055461185031,0
189,21.7,7.456750000011873,0.001507454837061334,2
0,21.69,4108.756750000012,0.002795039410834496,1
189,21.69673,9.346750000003333,0.0013680948669799148,0
189,21.69924136,9.346750000003333,0.0014313074461142347,0
189,21.7,9.346750000003333,0.001386923717433057,2
0,21.58,4110.6467500000035,0.0004990876316423485,1
190,21.82,10.446750000013282,0.0013207891601659237,2
0,21.81,4156.246750000014,0.0009016003899887288,1
190,21.91,12.346750000022045,0.0029700764709090187,2
0,21.61849,4175.246750000022,0.0015645116019506662,0
0,21.54206395,4175.246750000022,0.0010647288414139234,0
0,21.5,4175.246750000022,0.0013143672240550335,0
0,21.47,4175.246750000022,0.000373379761912681,0
0,21.28,4175.246750000022,0.000137011405714246,1
196,21.3,4.366750000005936,0.00032740398121067167,0
196,21.46,4.366750000005936,0.0007451272695741775,2
0,21.293020000000002,4210.526750000005,0.0002274994188350944,0
0,21.24852788,4210.526750000005,0.0007198356394050129,0
0,21.23,4210.526750000005,0.0005227631160145742,0
0,21.1,4210.526750000005,0.0008615717634967998,0
0,20.89,4210.526750000005,0.0011116356222220167,0
0,20.84,4210.526750000005,0.0006075089198437796,0
0,20.84,4210.526750000005,0.001225415565772663,0
0,20.84,4210.526750000005,0.00128604273237587,0
0,20.84,4210.526750000005,0.0010543030903464713,0
0,20.84,4210.526750000005,0.0012584240707246158,1
202,20.88,0.8467499999939392,0.0011584040975200938,0
202,20.94,0.8467499999939392,0.0009948021355081571,0
202,21.02,0.8467499999939392,0.00045518665349719077,0
202,21.03,0.8467499999939392,-0.0004978904105024971,2
0,20.89284,4248.906749999995,0.000656612448567622,0
0,20.86400868,4248.906749999995,0.0016504280627765058,0
0,20.85,4248.906749999995,0.0016183779662806669,1
203,21.15,16.356750000004673,0.002065506192884669,2
0,20.94,4309.806750000004,0.0028350760217808546,0
0,20.77,4309.806750000004,0.002764369092970867,0
0,20.66,4309.806750000004,0.0032165278199796504,1
208,20.68091,12.52675000001653,0.004680637641387326,0
208,20.687136650000003,12.52675000001653,0.0055213500846425295,0
208,20.69,12.52675000001653,0.005980729443133564,0
208,21.05,12.52675000001653,0.004299262015353193,0
208,21.3,12.52675000001653,0.004576040487036292,2
0,21.29,4442.926750000017,0.004769720152495723,0
0,21.08,4442.926750000017,0.005046895302128906,1
210,21.08,16.12675000002801,0.0026094617905942806,0
210,21.08,16.12675000002801,0.002175203534782759,0
210,21.08,16.12675000002801,0.0013706997317868299,0
210,21.08,16.12675000002801,-7.55982155383992e-05,2
0,21.01,4442.926750000027,-0.0009352321258944727,0
0,20.95,4442.926750000027,-0.002882522019305364,0
0,20.82,4442.926750000027,-0.00448336499373319,1
213,21.14424,8.266750000017431,-0.0030117718568780766,0
213,21.217400639999997,8.266750000017431,-0.002701362356558512,0
213,21.24,8.266750000017431,-0.0032046828521914866,0
213,21.55,8.266750000017431,-0.0004120267711997321,0
213,21.75,8.266750000017431,0.0008002225733964991,0
