Number-in-hand,Price,Cash,Return,Action
0,30.2546,1000,0.0003795045833323935,1
33,30.557575399999998,1.5982000000003964,0.0015752123063939901,0
33,30.6678617034,1.5982000000003964,0.001272782764155736,0
33,30.72,1.5982000000003964,0.001964349933270578,2
0,30.25,1015.3582000000004,0.0006711436680537803,0
0,29.72,1015.3582000000004,-0.0010043606355757445,0
0,28.25,1015.3582000000004,-0.004904297671028052,1
35,28.80328,26.608200000000352,-0.004370362109601173,0
35,28.968035840000002,26.608200000000352,-0.003233414341641638,0
35,29.01,26.608200000000352,-0.0014034117039978746,0
35,29.42,26.608200000000352,-0.002797352385838154,0
35,29.7,26.608200000000352,-0.0028465576336924705,2
0,28.47,1066.1082000000004,-0.007436435492085902,0
0,27.44,1066.1082000000004,-0.011291210542178676,1
38,27.70296,23.388199999999298,-0.008795691778681947,0
38,27.796357920000002,23.388199999999298,-0.006691521780747814,0
38,27.82,23.388199999999298,-0.0015338271097152822,0
38,27.98,23.388199999999298,-0.002899930030860678,0
38,28.46,23.388199999999298,-0.0017693417028153686,2
0,27.44,1104.8681999999992,-0.005563879527562816,1
40,27.92,7.2681999999980995,-0.0052331437279119885,2
0,27.76838,1124.0681999999983,-0.006724908252574965,0
0,27.743509760000002,1124.0681999999983,-0.0025848970974807718,0
0,27.73,1124.0681999999983,0.0010513056770001916,1
40,28.03,14.868199999997803,0.0011736098486665799,2
0,27.87,1136.068199999998,0.00026458394517765065,1
40,28.38,21.268199999998163,0.001992948523659928,0
40,28.63,21.268199999998163,0.002296514987268809,0
40,28.894019999999998,21.268199999998163,0.0015135060630472048,0
40,28.998753379999997,21.268199999998163,0.005525103930827431,0
40,29.045790784159998,21.268199999998163,0.003953029935150078,0
40,29.06,21.268199999998163,0.0045464694859232236,2
0,28.94,1183.668199999998,0.004222279088819915,1
40,28.99,26.068199999996803,0.004443608330587745,2
0,28.81,1185.6681999999967,0.0027447183919740168,0
0,28.68058,1185.6681999999967,0.002866939718509995,0
0,28.640975859999998,1185.6681999999967,0.0009153743104088161,0
0,28.63,1185.6681999999967,2.286582381771929e-17,0
0,28.15,1185.6681999999967,-0.0026087298706479107,1
42,28.67,3.3681999999968113,-0.0011401562270680298,0
42,28.86,3.3681999999968113,-0.0006417023899947616,0
42,29.23,3.3681999999968113,0.0005832920981017971,0
42,29.73022,3.3681999999968113,0.002693931571201714,0
42,29.8249594,3.3681999999968113,0.002839466377539036,0
42,29.86,3.3681999999968113,0.003579724301460723,2
0,29.84,1257.4881999999966,0.003962953665660332,1
42,29.9,4.208199999996825,0.0043020065560656065,0
42,30.1,4.208199999996825,0.005007005264480629,0
42,31.28,4.208199999996825,0.010543156109141092,0
42,31.294140000000002,4.208199999996825,0.008757957967560896,0
42,31.29773218,4.208199999996825,0.008108908726234314,0
42,31.3,4.208199999996825,0.006842251842295306,0
42,31.86,4.208199999996825,0.006918726756654767,0
42,32.11,4.208199999996825,0.007382190139246821,0
42,32.21,4.208199999996825,0.007575717123206332,0
42,32.36,4.208199999996825,0.00810733168547311,2
0,32.13048,1363.3281999999967,0.007194663192859321,0
0,32.01596472,1363.3281999999967,0.006170950413691523,0
0,31.98,1363.3281999999967,0.0022131791728698083,1
42,32.06,20.16819999999615,0.0024178287610519544,2
0,32.02,1366.6881999999962,0.0022815066960500817,1
42,32.09,21.848199999996737,0.002492635757565796,2
0,31.75,1369.628199999997,-0.0003458579143201824,1
43,32.01424,4.378199999996923,-0.0002986704284832076,0
43,32.08625152,4.378199999996923,-0.0003849326512079873,0
43,32.11,4.378199999996923,-0.0007755584088868525,0
43,32.61,4.378199999996923,0.0014813877475994008,0
43,32.77,4.378199999996923,0.0023278786818978327,2
0,32.38,1413.488199999997,0.0012430240843680934,1
43,32.99,21.148199999995867,0.00285953380590832,0
43,33.13973,21.148199999995867,0.003437215714258559,0
43,33.18396818,21.148199999995867,0.0033522418029038317,0
43,33.2,21.148199999995867,0.004465715058374241,0
43,33.69,21.148199999995867,0.005102025360187111,2
0,33.57,1469.8181999999956,0.004520517416091602,1
43,33.71,26.30819999999578,0.004862702114454696,0
43,33.97172,26.30819999999578,0.0040909424000854615,0
43,34.04828012,26.30819999999578,0.003826605818325926,0
43,34.06178988536,26.30819999999578,0.005063527655438848,0
43,34.07,26.30819999999578,0.003221274643238512,0
43,34.22,26.30819999999578,0.0032077403752893085,0
43,34.36,26.30819999999578,0.0034826223965250787,2
0,34.28,1503.7881999999959,0.0032012217807136146,1
43,34.54,29.748199999996842,0.002491701530007105,0
43,34.58886,29.748199999996842,0.002989885391185512,0
43,34.60283354,29.748199999996842,0.002614104368421378,0
43,34.61,29.748199999996842,0.0018614243845170614,0
43,34.63,29.748199999996842,0.0016940837520348223,0
43,35.1,29.748199999996842,0.0030024905667942756,0
43,35.56,29.748199999996842,0.004280417897282886,2
0,35.34,1558.828199999997,0.0032205198427503303,0
0,35.30175,1558.828199999997,0.0027039440665214986,0
0,35.292643749999996,1558.828199999997,0.002911245614169412,0
0,35.29,1558.828199999997,0.0021481564968646376,0
0,34.94,1558.828199999997,0.0010100639802112,1
44,37.03,21.46819999999542,0.006779282199533837,0
44,38.07,21.46819999999542,0.009528391274715331,0
44,38.69,21.46819999999542,0.011086081029809099,2
0,38.5665,1723.8281999999954,0.00941828935291878,0
0,38.525536,1723.8281999999954,0.008009988350716847,0
0,38.5,1723.8281999999954,0.008564277440218811,0
0,37.43,1723.8281999999954,0.005853998413506826,0
0,37.36,1723.8281999999954,0.005692606348936885,1
46,38.38,5.2681999999968525,0.008393685289237524,2
0,37.29,1770.7481999999968,0.006509288948481892,1
47,37.775999999999996,18.118199999997913,0.001994558541763569,0
47,37.950768,18.118199999997913,-0.00031368296033853626,0
47,38.04,18.118199999997913,-0.0016942931035232012,2
0,36.95,1805.9981999999977,-0.004281837660679708,0
0,36.57,1805.9981999999977,-0.005209306199158251,0
0,35.18,1805.9981999999977,-0.009018050198432647,0
0,33.69,1805.9981999999977,-0.010527146449787621,1
53,35.64027,20.428199999995684,-0.00471244350291534,0
53,36.07592613,20.428199999995684,-0.006191071389987617,0
53,36.28,20.428199999995684,-0.00274585689437934,0
53,36.65,20.428199999995684,-0.0030260552010496506,0
53,37.44,20.428199999995684,-0.0013550089181629463,2
0,36.9,2004.7481999999957,-0.0030426686630708128,0
0,36.26,2004.7481999999957,-0.001885044206750594,1
55,36.30494,10.448199999996163,-0.0007274411995367566,0
55,36.3148796,10.448199999996163,0.0031749824308829667,0
55,36.32,10.448199999996163,0.0075167496314630985,2
0,36.04,2008.048199999996,0.0011153254408648508,0
0,35.47,2008.048199999996,-0.0016938507894147462,0
0,33.97,2008.048199999996,-0.006578884307444353,1
59,34.61,3.818199999994704,-0.005727077068540762,0
59,35.06056,3.818199999994704,-0.006566279962549495,0
59,35.18123328,3.818199999994704,-0.004769875606954798,0
59,35.25,3.818199999994704,-0.002824967606842719,2
0,35.03,2083.5681999999947,-0.0035748982956526716,0
0,34.86,2083.5681999999947,-0.00408875235263668,1
59,36.19,26.828199999997125,-0.0003585716157441174,0
59,36.7,26.828199999997125,0.0018147322320387778,0
59,37.10824,26.828199999997125,0.004515177859264292,0
59,37.214775519999996,26.828199999997125,0.009122809164483556,0
59,37.249688818559996,26.828199999997125,0.00735009332792608,0
